"date";"deepSleepTime";"shallowSleepTime";"wakeTime";"REMTime";"sleep_day";"sleep_time_ist";"wake_time_ist";"steps";"distance";"total_calories"
"2024-12-01";73;345;0;89;"2024-12-01";"00:31:00";"08:58:00";5049;3081;1617
"2024-12-02";79;300;1;87;"2024-12-02";"00:18:00";"08:05:00";10964;8690;1873
"2024-12-03";75;265;0;38;"2024-12-03";"00:04:00";"06:22:00";4680;2897;1392
"2024-12-04";69;284;0;51;"2024-12-04";"00:39:00";"07:23:00";6939;4244;1792
"2024-12-05";88;224;0;108;"2024-12-05";"01:04:00";"08:04:00";10360;7557;1696
"2024-12-06";77;313;5;110;"2024-12-05";"23:33:00";"07:58:00";7422;4564;1392
"2024-12-07";12;286;1;60;"2024-12-07";"00:16:00";"06:15:00";13917;8817;1524
"2024-12-08";85;306;0;91;"2024-12-07";"22:48:00";"06:50:00";6525;3954;1361
"2024-12-09";65;285;0;72;"2024-12-09";"00:00:00";"07:02:00";3717;2267;1353
"2024-12-10";39;328;0;31;"2024-12-10";"00:11:00";"06:49:00";1634;1031;1352
"2024-12-11";65;285;0;72;"2024-12-11";"00:00:00";"07:02:00";907;535;1340
"2024-12-12";85;274;0;47;"2024-12-12";"01:18:00";"08:04:00";870;515;1340
"2024-12-13";94;296;1;112;"2024-12-12";"23:47:00";"08:10:00";4245;2610;1359
"2024-12-14";64;240;0;80;"2024-12-14";"00:56:00";"07:20:00";10955;7858;1727
"2024-12-15";65;285;0;72;"2024-12-15";"00:00:00";"07:02:00";9469;5808;1818
"2024-12-16";88;185;41;96;"2024-12-16";"00:45:00";"07:35:00";5535;3433;1367
"2024-12-17";86;296;0;64;"2024-12-17";"00:20:00";"07:46:00";14281;10341;1947
"2024-12-18";63;280;0;94;"2024-12-18";"00:29:00";"07:46:00";8669;5379;1732
"2024-12-19";59;290;1;67;"2024-12-19";"00:28:00";"07:25:00";6767;4215;1383
"2024-12-20";109;255;0;61;"2024-12-20";"00:27:00";"07:32:00";10915;7379;1553
"2024-12-21";30;303;0;90;"2024-12-21";"00:39:00";"07:42:00";2859;1739;1348
"2024-12-22";42;188;11;63;"2024-12-22";"02:32:00";"07:36:00";1548;912;1340
"2024-12-23";72;292;0;86;"2024-12-23";"00:23:00";"07:53:00";11583;7497;1728
"2024-12-24";56;342;1;48;"2024-12-24";"00:33:00";"08:00:00";8761;6440;1656
"2024-12-25";51;238;11;62;"2024-12-24";"23:36:00";"05:38:00";11386;7079;1410
"2024-12-26";93;284;0;55;"2024-12-26";"00:27:00";"07:39:00";20021;12766;1505
"2024-12-27";68;346;0;60;"2024-12-27";"00:32:00";"08:26:00";9838;6410;1426
"2024-12-28";89;300;1;67;"2024-12-28";"00:51:00";"08:28:00";12663;8256;1497
"2024-12-29";82;288;0;61;"2024-12-29";"01:09:00";"08:20:00";6154;3696;1349
"2024-12-30";49;385;2;120;"2024-12-29";"23:23:00";"08:39:00";3531;2108;1349
"2024-12-31";53;312;1;76;"2024-12-31";"00:11:00";"07:33:00";10900;7687;1633
"2025-01-01";87;227;0;109;"2025-01-01";"00:42:00";"07:45:00";2751;1673;1353
"2025-01-02";93;270;0;65;"2025-01-02";"00:26:00";"07:34:00";10948;8006;1709
"2025-01-03";95;278;0;59;"2025-01-03";"00:22:00";"07:34:00";7120;4356;1730
"2025-01-04";78;286;0;59;"2025-01-04";"00:29:00";"07:32:00";5137;3094;1659
"2025-01-05";53;314;0;85;"2025-01-05";"00:42:00";"08:14:00";7494;6057;1696
"2025-01-06";75;269;0;63;"2025-01-06";"00:56:00";"07:43:00";1217;720;1340
"2025-01-07";62;246;0;75;"2025-01-07";"00:33:00";"06:56:00";11157;8647;1870
"2025-01-08";92;268;1;63;"2025-01-07";"23:55:00";"06:59:00";4937;2981;1614
"2025-01-09";90;259;0;82;"2025-01-09";"00:35:00";"07:46:00";8326;5893;1593
"2025-01-10";58;236;1;95;"2025-01-10";"00:38:00";"07:08:00";7811;4845;1391
"2025-01-11";39;348;0;55;"2025-01-10";"23:11:00";"06:33:00";14403;12427;1876
"2025-01-12";48;294;0;73;"2025-01-12";"00:29:00";"07:24:00";5101;3019;1951
"2025-01-13";51;305;0;63;"2025-01-13";"00:08:00";"07:07:00";3997;2499;1368
"2025-01-14";32;359;0;72;"2025-01-14";"00:41:00";"08:24:00";1742;1035;1347
"2025-01-15";60;328;2;77;"2025-01-15";"00:16:00";"08:03:00";8084;7175;1626
"2025-01-16";81;295;0;86;"2025-01-16";"00:13:00";"07:55:00";4079;2523;1362
"2025-01-17";54;319;0;56;"2025-01-17";"00:48:00";"07:57:00";5409;4660;1596
